,,,,,,,,,,,
,Expences for Paycheck 2/24/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,118.08,
,Kwik-Trip,,,Sat Feb 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),Maintenance,12.09,12.09,,Cigarettes,58.85,
,Kwik-Trip,,,Sat Feb 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),Cigarettes,29.42,41.510000000000005,,Gas,34.4,
,Wal-Mart,,,Sat Feb 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),Groceries,112.35,153.86,,Entertainment,4.95,
,CVS (Prozasin),,,Mon Feb 27 2023 01:00:00 GMT-0500 (Eastern Standard Time),Medical,10,163.86,,Medical,40,
,CVS (Vyvanse),,,Mon Feb 27 2023 01:00:00 GMT-0500 (Eastern Standard Time),Medical,30,193.86,,Vehicle,0,
,Scott's Vending,,,Wed Mar 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),Groceries,5.73,199.59,,Maintenance,12.09,
,Kwik-Trip,,,Thu Mar 02 2023 01:00:00 GMT-0500 (Eastern Standard Time),Cigarettes,29.43,229.02,,Debt,0,
,Kwik-Trip,,,Thu Mar 02 2023 01:00:00 GMT-0500 (Eastern Standard Time),Gas,34.4,263.42,,,,
,Albion Online,,,Sun Mar 05 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,4.95,268.37,,Catagory YTD Totals,,Average (04/26)
,,,,,,0,268.37,,Groceries,761.9399999999999,190.48499999999999
,,,,,,0,268.37,,Cigarettes,162.18,40.545
,,,,,,0,268.37,,Gas,125.42000000000002,31.355000000000004
,,,,,,0,268.37,,Entertainment,277.5,69.375
,,,,,,0,268.37,,Medical,55.76,13.94
,,,,,,0,268.37,,Vehicle,115.47,28.8675
,,,,,,0,268.37,,Maintenance,288.71,72.1775
,Expence Grand Total,,,,,268.37,,,Debt,305.90999999999997,76.47749999999999
