,,,,,,,,,,,
,Expences for Paycheck 7/14/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,262.07,
,Hims,,,Sat Jul 15 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,65,65,,Cigarettes,57.4,
,Aurora,,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,50,115,,Gas,0,
,ATM Withdrawl (Laundry Money),,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,23,138,,Entertainment,5.57,
,Wal-Mart (Groceries),,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,134.44,272.44,,Medical,115,
,Wal-Mart (Furnishings),,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,50,322.44,,Vehicle,0,
,Smart-Style (Hair Cut),,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,25.27,347.71,,Maintenance,182.82999999999998,
,Citco,,,Mon Jul 17 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,19.82,367.53,,Debt,0,
,Harbor Freight,,,Thu Jul 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,10.49,378.02,,,,
,Kwik Trip,,,Fri Jul 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,28.04,406.06,,Catagory,YTD,Average
,Mega,,,Sat Jul 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Entertainment,5.57,411.63,,Groceries,2928.99,209.2135714285714
,Wal-Mart,,,Sun Jul 23 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,78.08,489.71,,Cigarettes,600.3699999999999,42.88357142857142
,Green Street,,,Mon Jul 24 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,49.55,539.26,,Gas,296.72,21.194285714285716
,Amazon (Watch Stuff),,,Tue Jul 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,44.07,583.33,,Entertainment,482.56,34.46857142857143
,Quik Trip,,,Wed Jul 26 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,9.54,592.87,,Medical,327.22,23.372857142857146
,ATM Withdrawl (Deanna),,,Wed Jul 26 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,40,632.87,,Vehicle,144.32,10.308571428571428
,Adjustment,,,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,-10,582.87,,Maintenance,783.49,55.96357142857143
,,,,,,0,582.87,,Debt,350.6499999999999,25.046428571428567
,Expence Grand Total,,,,,582.87,,,Paycheck Number,,14
