,,,,,,,,,
,Expences for Paycheck 12/16/2022,,,,,,,,
,Expence,,,Catagory,Cost,Total,,Catagory Totals,
,Wal-Mart,,,Groceries,46.38,46.38,,Groceries,53.370000000000005
,Kwik Trip,,,Gas,23.05,69.43,,Cigarettes,32.760000000000005
,Vending Machine,,,Groceries,3.99,73.42,,Gas,23.05
,MDG,,,Maintenance,8.95,82.37,,Entertainment,52.49
,Kwik Trip,,,Cigarettes,20.6,102.97,,Medical,9.56
,XMas Mom,,,Maintenance,0,102.97,,Vehicle,0
,XMas Grandpa,,,Maintenance,0,102.97,,Maintenance,8.95
,Battle.net (WoW Upgrade),,,Entertainment,52.49,155.46,,Total : ,180.18
,Scott's Vending,,,Groceries,3,158.46,,,
,Walmart,,,Medical,9.56,168.02,,,
,Kwik Trip,,,Cigarettes,12.16,180.18,,,
,,,,,0,180.18,,,
,,,,,0,180.18,,,
,,,,,0,180.18,,,
,,,,,0,180.18,,,
,,,,,0,180.18,,,
,Expence Grand Total,,,,180.18,,,,
