,,,,,,,,,,,
,Expences for Paycheck 5/05/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,201.53999999999996,
,Wal-Mart,,,Sun May 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,45.18,45.18,,Cigarettes,61.510000000000005,
,Marathon,,,Sat May 13 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,30.6,75.78,,Gas,36.79,
,CVS,,,Thu May 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,6.46,82.24,,Entertainment,0,
,Dairy Queen,,,Thu May 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,6.5,88.74,,Medical,56.46,
,Scott's Vending,,,Wed May 10 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,2.05,90.78999999999999,,Vehicle,0,
,Kwik Trip (Laundry Coins),,,Tue May 09 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,12,102.78999999999999,,Maintenance,12,
,CVS,,,Mon May 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,10,112.78999999999999,,Debt,0,
,BP Gas Station,,,Sun May 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,30.91,143.7,,,,
,BP Gas Station,,,Sun May 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Gas,36.79,180.48999999999998,,Catagory YTD Totals,,Average (09/26)
,Wal-Mart,,,Sun May 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,147.80999999999997,328.29999999999995,,Groceries,1649.12,183.23555555555555
,CVS,,,Sun May 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,40,368.29999999999995,,Cigarettes,391.77,43.53
,,,,,,0,368.29999999999995,,Gas,256.61,28.512222222222224
,,,,,,0,368.29999999999995,,Entertainment,393.01,43.66777777777778
,,,,,,0,368.29999999999995,,Medical,182.22,20.246666666666666
,Expence Grand Total,,,,,368.29999999999995,,,Vehicle,115.47,12.83
,,,,,,,,,Maintenance,363.07,40.34111111111111
,,,,,,,,,Debt,314.85999999999996,34.98444444444444
