,,,,,,,,,,,
,Expences for Paycheck 2/10/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,232.70999999999998,
,Kwik-Trip,,,Tue Feb 14 2023 01:00:00 GMT-0500 (Eastern Standard Time),Cigarettes,28.38,28.38,,Cigarettes,46.81,
,Kwik-Trip,,,Sun Feb 19 2023 01:00:00 GMT-0500 (Eastern Standard Time),Cigarettes,18.43,46.81,,Gas,0,
,MDG,,,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,8.95,55.760000000000005,,Entertainment,262.06,
,Affirm WalMart 1,,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,47.37,103.13,,Medical,10,
,Affirm WalMart 2,,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,47.06,150.19,,Vehicle,103.47,
,Affirm NewEgg,,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,23.61,173.8,,Maintenance,59.940000000000005,
,Affirm WalMart 3,,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,6.3,180.10000000000002,,Debt,144.29999999999998,
,Affirm WalMart 4,,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Debt,11.01,191.11,,,,
,Steam (Cyberpunk 2077),,,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,62.99,254.10000000000002,,Catagory YTD Totals,,Average (03/26)
,Mega (Download Service),,,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,10.78,264.88,,Groceries,643.8599999999999,214.61999999999998
,US Cellular (Tablet Tax),,,Wed Feb 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,54.97,319.85,,Cigarettes,103.33,34.443333333333335
,Amazon (S8+ Case),,,Wed Feb 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,71.33,391.18,,Gas,91.02000000000001,30.340000000000003
,Game Stop (PS5 Controler),,,Sun Feb 19 2023 01:00:00 GMT-0500 (Eastern Standard Time),Entertainment,61.99,453.17,,Entertainment,272.55,90.85000000000001
,Wal-Mart,,,Sun Feb 12 2023 01:00:00 GMT-0500 (Eastern Standard Time),Groceries,162.16,615.33,,Medical,15.76,5.253333333333333
,Wal-Mart,,,Sat Feb 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),Groceries,70.55,685.88,,Vehicle,115.47,38.49
,Cash Withdrawl (Laundry),,,Sat Feb 11 2023 01:00:00 GMT-0500 (Eastern Standard Time),Maintenance,20,705.88,,Maintenance,276.62,92.20666666666666
,Smart Style (Haircut),,,Sun Feb 12 2023 01:00:00 GMT-0500 (Eastern Standard Time),Maintenance,25.26,731.14,,,,
,Good Will,,,Sat Feb 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),Maintenance,14.68,745.8199999999999,,,,
,CVS (Anxiety Meds),,,Sun Feb 12 2023 01:00:00 GMT-0500 (Eastern Standard Time),Medical,10,755.8199999999999,,,,
,"Oil Change (Oil, Cabin Filter, Engine Clean)",,,Sun Feb 12 2023 01:00:00 GMT-0500 (Eastern Standard Time),Vehicle,103.47,859.29,,,,
,,,,,,0,859.29,,,,
,Expence Grand Total,,,,,859.29,,,Debt,305.90999999999997,101.96999999999998
