,,,,,,,,,,,
,Expences for Paycheck 5/19/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,209.93,
,MDG,,,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,8.95,8.95,,Cigarettes,48.28,
,Wal Mart,,,Sun Jun 04 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,154.11,163.06,,Gas,0,
,Marathon,,,Sun Jun 04 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,30.6,193.66,,Entertainment,0,
,CVS (Vyvanse),,,Thu Jun 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,30,223.66,,Medical,30,
,Kwik-Trip,,,Sat Jun 10 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,17.68,241.34,,Vehicle,13.35,
,Kwik-Trip,,,Mon Jun 12 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Vehicle,13.35,254.69,,Maintenance,0,
,Wal Mart,,,Sun Jun 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,55.82,310.51,,Debt,17.9,
,MDG,,,Sun Jun 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,8.95,319.46,,,,
,,,,,,0,319.46,,Catagory,YTD Totals,Average (11/26)
,,,,,,0,319.46,,Groceries,2188.5899999999997,198.96272727272725
,,,,,,0,319.46,,Cigarettes,505.28999999999996,45.93545454545454
,,,,,,0,319.46,,Gas,276.15000000000003,25.10454545454546
,,,,,,0,319.46,,Entertainment,403.5,36.68181818181818
,,,,,,0,319.46,,Medical,212.22,19.292727272727273
,,,,,,0,319.46,,Vehicle,144.32,13.12
,,,,,,0,319.46,,Maintenance,473.14,43.01272727272727
,,,,,,0,319.46,,Debt,341.69999999999993,31.06363636363636
,Expence Grand Total,,,,,319.46,,,TOTAL,4544.91,454.491
