,,,,,,,,,,,
,Expences for Paycheck 5/19/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,329.54,
,MDG,,,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,8.94,8.94,,Cigarettes,65.24000000000001,
,Kwik Trip,,,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,14.53,23.47,,Gas,19.54,
,Harbor Freight,,,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,64.81,88.28,,Entertainment,10.49,
,Car Wash,,,Sun May 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Vehicle,15.5,103.78,,Medical,0,
,Laundry Change,,,Sun May 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,20,123.78,,Vehicle,15.5,
,Wal-Mart,,,Sun May 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,157.58,281.36,,Maintenance,110.07000000000001,
,Smart Style,,,Tue May 23 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,25.26,306.62,,Debt,8.94,
,Wal-Mart,,,Tue May 23 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,31.44,338.06,,,,
,Kwik Trip,,,Thu May 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Gas,19.54,357.6,,Catagory,YTD Totals,Average (10/26)
,Kwik Trip,,,Thu May 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,24.53,382.13,,Groceries,1978.6599999999999,197.86599999999999
,Microsoft Game Pass,,,Sat May 27 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Entertainment,10.49,392.62,,Cigarettes,457.01,45.701
,Kwik Trip,,,Mon May 29 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,26.18,418.8,,Gas,276.15000000000003,27.615000000000002
,Wal-Mart,,,Mon May 29 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,140.52,559.32,,Entertainment,403.5,40.35
,,,,,,0,559.32,,Medical,182.22,18.222
,,,,,,0,559.32,,Vehicle,130.97,13.097
,,,,,,0,559.32,,Maintenance,473.14,47.314
,,,,,,0,559.32,,Debt,323.79999999999995,32.379999999999995
,Expence Grand Total,,,,,559.32,,,TOTAL,4225.45,422.54499999999996
