,,,,,,,,,,,
,Expences for Paycheck 3/24/2023,,,,,,,,Catagory Totals,,
,Expence,,,Date,Catagory,Cost,Total,,Groceries,195.9,
,Kwik-Trip,,,Fri Mar 24 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,28.38,28.38,,Cigarettes,58.64,
,Kwik-Trip,,,Wed Apr 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,3.24,31.619999999999997,,Gas,33.88,
,Albion Online,,,Fri Mar 31 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Entertainment,4.95,36.57,,Entertainment,4.95,
,"CVS Pharmacy (Vyvanse, Venlafaxine, Minipress)",,,Wed Mar 29 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Medical,70,106.57,,Medical,70,
,Citgo,,,Wed Mar 29 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Gas,33.88,140.45,,Vehicle,0,
,Citgo,,,Wed Mar 29 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,27.02,167.47,,Maintenance,0,
,Wal-Mart,,,Sun Mar 26 2023 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,195.9,363.37,,Debt,0,
,,,,,,0,363.37,,,,
,,,,,,0,363.37,,Catagory YTD Totals,,Average (06/26)
,,,,,,0,363.37,,Groceries,1086.76,181.12666666666667
,,,,,,0,363.37,,Cigarettes,267.67,44.61166666666667
,,,,,,0,363.37,,Gas,185.54000000000002,30.923333333333336
,,,,,,0,363.37,,Entertainment,313.34,52.22333333333333
,,,,,,0,363.37,,Medical,125.75999999999999,20.959999999999997
,,,,,,0,363.37,,Vehicle,115.47,19.245
,,,,,,0,363.37,,Maintenance,288.71,48.11833333333333
,Expence Grand Total,,,,,363.37,,,Debt,314.85999999999996,52.47666666666666
